"date","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br"
2020-02-15,-9,-11.3333333333333,-2.33333333333333,-1.75,3,1.5
2020-02-16,-6.33333333333333,-9.83333333333333,-4.33333333333333,-3.58333333333333,-1.33333333333333,-1.5
2020-02-17,-2.66666666666667,2.83333333333333,-1.5,-3.66666666666667,4.33333333333333,0.333333333333333
2020-02-18,-3,1.33333333333333,-2,-3.83333333333333,3.66666666666667,-0.166666666666667
2020-02-19,-4.66666666666667,-1.83333333333333,-3.33333333333333,-4.75,4,0.333333333333333
2020-02-20,-5.33333333333333,-2.66666666666667,-1,-2.91666666666667,8.66666666666667,4.5
2020-02-21,-4.66666666666667,-0.333333333333333,0,-2.41666666666667,9.66666666666667,5.16666666666667
2020-02-22,-2,-2.33333333333333,-5.16666666666667,-6.25,2,2.66666666666667
2020-02-23,-0.333333333333333,-1.75,-8.33333333333333,-8.41666666666667,-3.33333333333333,2.16666666666667
2020-02-24,-2.33333333333333,-2.66666666666667,-4,-5.75,-25.3333333333333,-8.5
2020-02-25,0.333333333333333,1.5,2.16666666666667,-0.416666666666667,-38.6666666666667,-20.5
2020-02-26,0,0.5,2.16666666666667,0.0833333333333333,-12.6666666666667,-9.83333333333333
2020-02-27,0.666666666666667,1.5,5.16666666666667,2.08333333333333,1.33333333333333,-0.833333333333333
2020-02-28,-0.333333333333333,-2,10,5.58333333333333,0.666666666666667,-1.66666666666667
2020-02-29,0.333333333333333,-2.16666666666667,8.83333333333333,5.66666666666667,-1.83333333333333,-2.41666666666667
2020-03-01,4,4.16666666666667,10.8333333333333,8.33333333333333,-5.66666666666667,-4.83333333333333
2020-03-02,2.33333333333333,3.83333333333333,7,3.75,2.66666666666667,-1.16666666666667
2020-03-03,1.33333333333333,2.83333333333333,7,4,3,-0.833333333333333
2020-03-04,0.666666666666667,0.833333333333333,5.83333333333333,3.83333333333333,4.33333333333333,0.583333333333333
2020-03-05,0,0.666666666666667,5.5,3.66666666666667,7,3.5
2020-03-06,2.66666666666667,6.16666666666667,6.33333333333333,4.25,10.3333333333333,5.33333333333333
2020-03-07,2,2.66666666666667,2.5,2.08333333333333,6.16666666666667,4.25
2020-03-08,3,4,-2.66666666666667,-2.08333333333333,3.83333333333333,3.08333333333333
2020-03-09,-0.666666666666667,1.16666666666667,-1.33333333333333,-3.33333333333333,7.66666666666667,3
2020-03-10,-0.666666666666667,1.5,-2.16666666666667,-3.83333333333333,7.66666666666667,3.16666666666667
2020-03-11,-1.33333333333333,2,-4,-4.66666666666667,6.66666666666667,2.5
2020-03-12,-2,2.08333333333333,-3.16666666666667,-4,6.33333333333333,2.33333333333333
2020-03-13,-3,3.16666666666667,0,-1.5,7.33333333333333,2.66666666666667
2020-03-14,-6,-1,-2.66666666666667,-2.91666666666667,0.666666666666667,0.5
2020-03-15,-7.66666666666667,-2.91666666666667,-6,-4.5,-4.66666666666667,-2.83333333333333
2020-03-16,-5.33333333333333,5.91666666666667,-6.33333333333333,-4.91666666666667,-0.666666666666667,-2.33333333333333
2020-03-17,-14,-0.5,-8.33333333333333,-6.58333333333333,-6.83333333333333,-5.25
2020-03-18,-21.3333333333333,-5.66666666666667,-10.1666666666667,-6.66666666666667,-14,-9.33333333333333
2020-03-19,-22.6666666666667,-5,-13.8333333333333,-7.75,-21,-14
2020-03-20,-26.6666666666667,-7.75,-14.8333333333333,-7.58333333333333,-28.3333333333333,-18.6666666666667
2020-03-21,-34.6666666666667,-12.6666666666667,-22.5,-12.9166666666667,-45.6666666666667,-32
2020-03-22,-38,-16,-24.8333333333333,-15.75,-56,-41.5833333333333
2020-03-23,-42,-18.3333333333333,-23,-11.5833333333333,-54.6666666666667,-38.3333333333333
2020-03-24,-61,-32.3333333333333,-15,-4.91666666666667,-59.6666666666667,-42.1666666666667
2020-03-25,-65.5,-34.25,-7.5,1.5,-59.6666666666667,-41.5
2020-03-26,-66.6666666666667,-35,-11.8333333333333,3.66666666666667,-58.3333333333333,-40
