"date","case.truth.sce1","case.sce1","death.sce1","mob.sce1","relR0.sce1","wt.suscept.sce1","wt.Rtx.sce1","newitot.sce1","Etot.sce1","Itot.sce1","S1.sce1","S2.sce1","newItot1.sce1","newItot2.sce1","E1.sce1","E2.sce1","I1.sce1","I2.sce1","case.truth.sce2","case.sce2","death.sce2","mob.sce2","relR0.sce2","wt.suscept.sce2","wt.Rtx.sce2","newitot.sce2","Etot.sce2","Itot.sce2","S1.sce2","S2.sce2","newItot1.sce2","newItot2.sce2","E1.sce2","E2.sce2","I1.sce2","I2.sce2","case.truth.sce3","case.sce3","death.sce3","mob.sce3","relR0.sce3","wt.suscept.sce3","wt.Rtx.sce3","newitot.sce3","Etot.sce3","Itot.sce3","S1.sce3","S2.sce3","newItot1.sce3","newItot2.sce3","E1.sce3","E2.sce3","I1.sce3","I2.sce3","case.truth.sce4","case.sce4","death.sce4","mob.sce4","relR0.sce4","wt.suscept.sce4","wt.Rtx.sce4","newitot.sce4","Etot.sce4","Itot.sce4","S1.sce4","S2.sce4","newItot1.sce4","newItot2.sce4","E1.sce4","E2.sce4","I1.sce4","I2.sce4","case.truth.sce5","case.sce5","death.sce5","mob.sce5","relR0.sce5","wt.suscept.sce5","wt.Rtx.sce5","newitot.sce5","Etot.sce5","Itot.sce5","S1.sce5","S2.sce5","newItot1.sce5","newItot2.sce5","E1.sce5","E2.sce5","I1.sce5","I2.sce5"
"2020-03-01",0.304470669564579,0,0.00087661202576881,1,"sa",999986.092592593,2.275,7,5,4,999986.092592593,999998.333333333,7,0,5,0,4,0,0.309540806967981,2,0.000986360567918199,1,"sa",999986.333333333,2.275,7,5,3,999986.333333333,999990.833333333,7,0,5,0,3,0,0.299298076564904,0,0.000776870993802466,1,"sa",999986.259259259,2.275,7,6,4,999986.259259259,999998.041666667,7,0,6,0,4,0,0.301451374190484,1,0.000942729585136435,1,"sa",999986.097222222,2.275,7,6,4,999986.097222222,999994.166666667,7,0,6,0,4,0,0.401054802535661,1,0.00109058653226197,1,"uk",999979.539351852,2.275,10,9,5,999979.539351852,999982.75,10,0,9,0,5,0
"2020-03-08",1.77558401606483,4,0.0205131055106477,0.9,"sa",999967.881944444,2.275,14,10,8,999967.881944444,999994.416666667,14,0,10,0,8,0,1.73239196391566,2,0.0181253787505355,0.9,"sa",999966.333333333,2.275,14,10,7,999966.333333333,999970.666666667,14,0,10,0,7,0,1.82484582418029,2,0.0183263145602821,0.9,"sa",999967.291666667,2.275,14.5,10,7,999967.291666667,999994.708333333,14.5,0,10,0,7,0,1.86972054068761,0,0.0200007592904313,0.9,"sa",999965.09837963,2.275,16,10,8,999965.09837963,999982.583333333,16,0,10,0,8,0,3.15139170268222,5,0.027837746389199,1,"uk",999923.361111111,2.275,33.5,29.5,17.5,999923.361111111,999928.5,33.5,0,29.5,0,17.5,0
"2020-03-15",3.53668205784622,6,0.0651184768261897,0.9,"sa",999925.652777778,2.275,29,21,14.5,999925.652777778,999987,29,0,21,0,14.5,0,3.6096664885419,2,0.0616589104580732,0.9,"sa",999928.284722222,2.275,27.5,21,15,999928.284722222,999934.333333333,27.5,0,21,0,15,0,3.57706207890367,4,0.0661812609408985,0.9,"sa",999929.925925926,2.275,29.5,19,15,999929.925925926,999987.166666667,29.5,0,19,0,15,0,3.95882503850094,1,0.0721056639686578,0.9,"sa",999923.472222222,2.275,30,22,15.5,999923.472222222,999957.166666667,30,0,22,0,15.5,0,10.3934587670833,18,0.136008041093778,1,"uk",999738.694444445,2.275,116,99.5,63.5,999738.694444445,999746.333333333,116,0,99.5,0,63.5,0
"2020-03-22",7.30213074898052,5,0.154974985472688,0.879,"sa",999846.310185185,2.275,59.5,42,30,999846.310185185,999972.583333333,59.5,0,42,0,30,0,7.00465163467918,9,0.141709905164163,0.879,"sa",999856.046296296,2.275,56.5,39,29.5,999856.046296296,999861.166666666,56.5,0,39,0,29.5,0,7.03918745721611,4,0.149065051338763,0.879,"sa",999853.138888889,2.275,57,40,29,999853.138888889,999972.083333333,57,0,40,0,29,0,7.7842096313694,7,0.161594131635064,0.879,"sa",999840.268518518,2.275,62,45.5,33,999840.268518518,999906.916666667,62,0,45.5,0,33,0,32.9922880930123,30,0.457900252916919,0.91,"uk",999250.722222222,2.275,324,262,173.5,999250.722222222,999247.083333333,324,0,262,0,173.5,0
"2020-03-29",14.6181672358652,16,0.310463073951516,0.877714285714286,"sa",999683.986111111,2.275,122,85.5,64,999683.986111111,999938.75,122,0,85.5,0,64,0,14.0394554096075,10,0.30358088535866,0.877714285714286,"sa",999698.597222222,2.275,120,81,61.5,999698.597222222,999703.166666667,120,0,81,0,61.5,0,13.989753693695,10,0.291156968347242,0.877714285714286,"sa",999701.125,2.275,118,83,60,999701.125,999941.166666667,118,0,83,0,60,0,15.9375415175644,11,0.317575170123909,0.877714285714286,"sa",999651.986111111,2.275,133,92,69,999651.986111111,999797.083333333,133,0,92,0,69,0,89.7540457353915,107,1.38797632313781,0.863142857142857,"uk",998004.722222222,2.275,855.5,656.5,447.5,998004.722222222,998013.833333333,855.5,0,656.5,0,447.5,0
"2020-04-05",30.9959569327531,27,0.640379348290219,0.920571428571429,"sa",999280.395833333,2.275,278.5,213,147.5,999280.395833333,999857.166666667,278.5,0,213,0,147.5,0,30.7968590800216,28,0.596568866416023,0.920571428571429,"sa",999308.875,2.275,266.5,197.5,141.5,999308.875,999321.666666667,266.5,0,197.5,0,141.5,0,30.5613382928409,21,0.594935266972179,0.920571428571429,"sa",999298.472222222,2.275,271.5,209,142,999298.472222222,999866.5,271.5,0,209,0,142,0,34.1080533938013,37,0.655259577064637,0.920571428571429,"sa",999230.125,2.275,299.5,227,158.5,999230.125,999541.25,299.5,0,227,0,158.5,0,232.291374857703,229,3.75970025004586,0.897857142857143,"uk",994730.819444444,2.275,2237,1729,1166.5,994730.819444444,994746.833333334,2237,0,1729,0,1166.5,0
"2020-04-12",76.3202963137833,68,1.40705000754715,0.957857142857143,"sa",998201.291666667,2.275,721,554.5,379,998201.291666667,999646.666666667,721,0,554.5,0,379,0,72.3226702513388,72,1.3026509022272,0.957857142857143,"sa",998297.708333333,2.275,678,534,354.5,998297.708333333,998326.083333333,678,0,534,0,354.5,0,72.2719399870395,62,1.31293022682783,0.957857142857143,"sa",998317.833333333,2.275,670.5,515,345,998317.833333333,999675.75,670.5,0,515,0,345,0,80.405931179423,94,1.46806778304107,0.957857142857143,"sa",998096.546296296,2.275,776,586.5,405,998096.546296296,998872.833333333,776,0,586.5,0,405,0,607.374719295799,608,9.91484654980568,0.916714285714286,"uk",986082.819444444,2.275,5829.5,4576.5,3078.5,986082.819444444,986183.416666666,5829.5,0,4576.5,0,3078.5,0
"2020-04-19",194.982274487286,168,3.3519739171231,0.879428571428571,"sa",995818.527777778,2.275,1699,1262,867,995818.527777778,999163.416666667,1699,0,1262,0,867,0,184.10653983491,190,3.16126414769533,0.879428571428571,"sa",995991.958333333,2.275,1660,1186.5,851,995991.958333333,996067.75,1660,0,1186.5,0,851,0,179.115290888381,175,3.10026528295282,0.879428571428571,"sa",996086.125,2.275,1588.5,1154,818,996086.125,999231.5,1588.5,0,1154,0,818,0,204.330191385593,194,3.44769323221875,0.879428571428571,"sa",995568.310185185,2.275,1796.5,1312,925,995568.310185185,997337.833333334,1796.5,0,1312,0,925,0,1577.59935214483,1552,26.0137122787989,0.886285714285714,"uk",965460.152777778,2.275,14456,10767.5,7493.5,965460.152777778,965649.25,14456,0,10767.5,0,7493.5,0
"2020-04-26",443.003642819325,447,7.85204173843769,0.882857142857143,"sa",990119.861111111,2.275,3974,3019.5,2071,990119.861111111,998037.833333333,3974,0,3019.5,0,2071,0,431.674077304789,437,7.55846343429557,0.882857142857143,"sa",990409.875,2.275,3878,2914,2035,990409.875,990522.083333334,3878,0,2914,0,2035,0,415.337529190744,385,7.37782286556841,0.882857142857143,"sa",990859.793209877,2.275,3682.5,2742.5,1913.5,990859.793209877,998175.666666667,3682.5,0,2742.5,0,1913.5,0,471.78779326837,469,8.29973896695152,0.882857142857143,"sa",989408.435185185,2.275,4237,3180,2198.5,989408.435185185,993671.583333333,4237,0,3180,0,2198.5,0,3624.46572541134,3592,64.9722116770828,0.729857142857143,"uk",931713.333333333,2.275,27362.5,17350.5,13780,931713.333333333,932135.333333333,27362.5,0,17350.5,0,13780,0
"2020-05-03",997.889922489046,1052,18.3776090425764,0.673095238095238,"sa",980885.694444444,2.275,7534,4772.5,3790,980885.694444444,996186.166666667,7534,0,4772.5,0,3790,0,975.544857139733,988,17.8164235550407,0.673095238095238,"sa",981374.208333333,2.275,7325,4678.5,3670.5,981374.208333333,981572.083333333,7325,0,4678.5,0,3670.5,0,915.326739854662,924,17.420112670947,0.673095238095238,"sa",982548.376543211,2.275,6842,4328,3447.5,982548.376543211,996493.083333333,6842,0,4328,0,3447.5,0,1063.63043355115,1043,19.305900553234,0.673095238095238,"sa",979632.851851852,2.275,7963.5,5031.5,4005.5,979632.851851852,987800.583333333,7963.5,0,5031.5,0,4005.5,0,5801.93707276152,5741,138.530627326416,0.371357142857143,"uk",909881.893518519,2.275,27806.5,11747.5,13254,909881.893518519,910644.333333333,27806.5,0,11747.5,0,13254,0
