"week","rel.R0"
1,1.02445682971218
2,1.03206032080052
3,1.03406055383257
4,1.03441485114525
5,1.04056243069546
6,1.04384257166595
7,1.05316491523062
8,1.05913100572246
9,1.06331389208387
10,1.06318805739783
11,1.06578433616941
12,1.06618485993029
13,1.06472747175509
14,1.05945488569531
15,1.05550045065483
16,1.04788303674298
17,1.03724079457546
18,1.02882103903839
19,1.03098284178573
20,1.03622415164465
21,1.04026461357062
22,1.03813068656649
23,1.03048310771069
24,1.02742177380554
25,1.01880991082291
26,1.01942929926637
27,1.01756723223062
28,1.02350142558016
29,1.01585918205579
30,1.00299071340925
31,0.981494164592041
32,0.965016246800246
33,0.952539336444117
34,0.939006909334358
35,0.930060322368811
36,0.908965526585329
37,0.896011839589827
38,0.892956047748139
39,0.899298189659828
40,0.902487790523255
41,0.900541731980585
42,0.909306897784509
43,0.923650298691004
44,0.941917184136666
45,0.952162607892566
46,0.961866490694
47,0.971107890251193
48,0.983052196087817
49,0.994531752443516
50,0.998144968781058
51,1.00397228169693
52,1.00563938849088
53,1.01673568777323
