"date","case.truth","case","death","mob","relR0","wt.suscept","wt.Rtx","newitot","Etot","Itot","S1","S2","newItot1","newItot2","E1","E2","I1","I2"
2020-03-01,0.342076486251769,1,0.00116542761965224,1,"sa",999986.634259259,2.275,7,6,4,999986.634259259,999990.5,7,0,6,0,4,0
2020-03-08,1.82268438599158,0,0.019900412210778,0.9,"sa",999963.916666667,2.275,16,11,8,999963.916666667,999969.333333333,16,0,11,0,8,0
2020-03-15,4.19052011260533,6,0.0691270743162246,0.9,"sa",999922.576388889,2.275,31.5,22,16.5,999922.576388889,999928.666666667,31.5,0,22,0,16.5,0
2020-03-22,7.71518354651833,13,0.159323844953314,0.879,"sa",999834.11574074,2.275,66.5,45,33,999834.11574074,999843.75,66.5,0,45,0,33,0
2020-03-29,16.49229104358,24,0.340705819669193,0.877714285714286,"sa",999645.034722222,2.275,141.5,96,71,999645.034722222,999661.5,141.5,0,96,0,71,0
2020-04-05,35.2662555068809,42,0.729439387485133,0.920571428571429,"sa",999200.368055555,2.275,308,235.5,163.5,999200.368055555,999217.083333334,308,0,235.5,0,163.5,0
2020-04-12,83.268477858431,75,1.61357643308837,0.957857142857143,"sa",998031.898148148,2.275,792,608.5,410,998031.898148148,998032.5,792,0,608.5,0,410,0
2020-04-19,210.018547783753,225,3.84199043283457,0.879428571428571,"sa",995385.328703703,2.275,1879.5,1341,972,995385.328703703,995383.916666667,1879.5,0,1341,0,972,0
2020-04-26,489.986251929826,441,9.26079523857868,0.882857142857143,"sa",989163.020833333,2.275,4359.5,3231,2287,989163.020833333,989188.833333334,4359.5,0,3231,0,2287,0
2020-05-03,1089.40677759656,1088,21.7038431943846,0.673095238095238,"sa",979127.854166666,2.275,8123,5192,4083,979127.854166666,979309.666666668,8123,0,5192,0,4083,0
2020-05-10,1856.04056357638,1863,45.4590866781643,0.570476190476191,"sa",965278.770833333,2.275,12072,7089,6055.5,965278.770833333,965589.666666668,12072,0,7089,0,6055.5,0
2020-05-17,2666.67066669542,2656,77.9424851805601,0.562023809523809,"sa",945608.854166667,2.275,16968,10037,8542,945608.854166667,946018.833333334,16968,0,10037,0,8542,0
2020-05-24,3765.83522734522,3904,116.682085872233,0.568095238095238,"sa",917418.604166667,2.275,24204.5,14349,12212,917418.604166667,917971.500000001,24204.5,0,14349,0,12212,0
2020-05-31,5414.07597942911,5337,165.251843087887,0.583452380952381,"sa",876100.270833333,2.275,35205.5,20885.5,17757,876100.270833333,876980.083333335,35205.5,0,20885.5,0,17757,0
2020-06-07,7865.72521795458,7879,236.999402836456,0.6,"sa",817368.6875,2.275,50541,29721,25437.5,817368.6875,818406.583333333,50541,0,29721,0,25437.5,0
2020-06-14,10493.7837333953,10408,336.05880178689,0.366833333333333,"sa",777383.770833333,2.275,49530.5,21412,23780,777383.770833333,778750.500000001,49530.5,0,21412,0,23780,0
2020-06-21,9117.5681502323,9045,404.021500119748,0.358333333333333,"sa",746822.104166667,2.275,37322.5,16090,18619,746822.104166667,748535.166666668,37322.5,0,16090,0,18619,0
2020-06-28,6921.76787273795,6951,409.387477809799,0.368333333333333,"sa",723868.6875,2.275,28117,12121,14164.5,723868.6875,725809.500000002,28117,0,12121,0,14164.5,0
2020-07-05,5217.40307993558,5286,367.564760964968,0.37,"sa",706951.4375,2.275,21398,9285,10701.5,706951.4375,709126.250000002,21398,0,9285,0,10701.5,0
2020-07-12,3864.97371293185,3897,281.792729763108,0.270095238095238,"sa",699362.604166667,2.275,13952,5156,6902.5,699362.604166667,701626.166666668,13952,0,5156,0,6902.5,0
2020-07-19,2392.17706992142,2393,211.788988115878,0.263619047619048,"sa",695919.1875,2.275,7915.5,2980,4061,695919.1875,698221.666666668,7915.5,0,2980,0,4061,0
2020-07-26,1364.08850788833,1323,149.139555821163,0.250857142857143,"sa",695132.9375,2.275,4440.5,1620.5,2299,695132.9375,697448.750000002,4440.5,0,1620.5,0,2299,0
2020-08-02,761.672164904714,776,95.6780231003754,0.270285714285714,"sa",695617.770833333,2.275,2506,938.5,1303.5,695617.770833333,697983.583333335,2506,0,938.5,0,1303.5,0
2020-08-09,433.742355576779,401,56.8677813313564,0.288,"sa",696858.270833333,2.275,1472,566,764.5,696858.270833333,699203.333333335,1472,0,566,0,764.5,0
2020-08-16,256.601576454556,272,32.2932686686774,0.274285714285714,"sa",698595.6875,2.275,851,315.5,440,698595.6875,700877.083333335,851,0,315.5,0,440,0
2020-08-23,151.568051197502,145,18.6914549757408,0.259809523809524,"sa",700554.326966546,2.44264240506329,557.5,202.5,286,700554.4375,700553.6875,471.5,81.5,166.5,35,241.5,40
2020-08-30,95.1002184724152,82,11.0641151940145,0.265428571428572,"sa",702621.513342696,2.49775280898876,312,117.5,163,702625.854166666,702603.6875,250.5,61,90,26.5,133.5,31
2020-09-06,58.8215999433943,56,6.96927361477116,0.622928571428571,"sa",704527.276025441,2.58683800623053,315,189.5,168,704533.604166666,704510.520833333,233,88,133.5,60,124,46.5
2020-09-13,71.3237793549212,63,4.5384172944192,0.651214285714286,"sa",706296.182444023,2.68661971830986,451,265,229.5,706307.520833333,706276.1875,294.5,167,155,112,146,86.5
2020-09-20,100.439381614191,92,4.05430146697985,0.615,"sa",707818.679319632,2.83058659217877,623,357,311,707839.4375,707796.9375,320.5,306,169.5,201.5,161,153
2020-09-27,140.023167319728,142,4.69620963780946,0.705964285714286,"sa",708726.551490515,2.96628556910569,963.5,603.5,492,708741.1875,708717.104166666,386,598,213,411,198,303
2020-10-04,231.140505775999,256,6.79077656347907,0.8195,"sa",708226.826854838,3.09987096774194,1845.5,1308,964.5,708274.6875,708208.687499999,532.5,1405,316,1048.5,263.5,733.5
2020-10-11,473.068786516193,482,11.7957502163215,0.838619047619047,"sa",705050.509817832,3.20940464607152,4000.5,2867,2054,704959.944444445,705070.194444444,734,3377,446,2519.5,361.5,1763.5
2020-10-18,1015.15260376148,1045,23.1810168080976,0.844119047619047,"sa",696603.602989843,3.27769528129636,8471.5,6086.5,4395.5,696766.458333333,696581.708333332,1038.5,7724.5,602,5614,523.5,4004
2020-10-25,2162.128706166,2236,48.8119227687531,0.866904761904762,"sa",660959.973421965,3.32591445348273,18360.5,13069,9490,660890.451388889,660965.701388889,1413,17150,812,12336.5,717,8899.5
2020-11-01,4569.04972168248,4640,107.37939646951,0.814523809523809,"sa",621342.320986442,3.35741876901934,35442,23262.5,18098,621809.888888887,621318.527777777,1726.5,33928,924.5,22601,858,17364
2020-11-08,8546.94543595797,8449,217.167305207039,0.889690476190476,"sa",546662.127960801,3.3773080526172,63482.5,40454,32146.5,547423.972222221,546637.805555555,1981.5,62066,1007,39620.5,988,31431.5
2020-11-15,14549.3887358263,14455,397.145115892801,0.882357142857143,"sa",447039.747555345,3.38961266385094,93753.5,49128,46438,448368.055555555,447012.472222222,1886.5,91872.5,853,48166.5,925.5,45533
2020-11-22,18942.0694424334,19045,636.041077244409,0.871095238095238,"sa",348764.195996347,3.39679097477941,93608.5,43690.5,46178.5,350701.319444444,348737.069444444,1292,92262.5,486,43286,640.5,45462.5
2020-11-29,17964.7346172726,18132,769.392076460775,0.890214285714285,"sa",277948.983916199,3.40223244432054,80645,35974.5,39971,280992.759259259,277921.259259259,728.5,79979,258.5,35763.5,370,39527.5
2020-12-06,14976.3713330709,15031,788.783297412591,0.906976190476191,"sa",235603.151247408,3.40553681633061,59996.5,24150,29878,239286.050925926,235580.467592593,367.5,59667,125.5,24056.5,193,29702
2020-12-13,10789.1798695236,10642,703.1201694067,0.930547619047619,"sa",213216.966535307,3.40725201845444,37725.5,14243,19141,217046.300925926,213199.217592593,174,37540.5,56,14177.5,91.5,19043
2020-12-20,6512.16869518589,6572,577.370759259958,0.889690476190476,"sa",204388.984744829,3.40846907557467,21176.5,7610.5,10889,208356.550925926,204374.874999999,75,21089.5,23,7585.5,39.5,10840.5
2020-12-27,3595.29479457577,3531,408.430592151722,0.882880952380953,"sa",202651.082868884,3.40925405742822,11215,4027.5,5816.5,206652.465277778,202639.631944444,32,11182,10,4017.5,18,5799.5
2021-01-03,1912.33858795088,1903,253.598991885744,0.944952380952381,"sa",204228.513891137,3.40992230495306,6180,2282,3221.5,208432.631944444,204218.965277777,14,6164,4,2279,7.5,3212.5
2021-01-10,1066.59009569742,1073,146.350455140064,1,"sa",207561.134683534,3.41059888579387,3589,1372,1871,211793.881944444,207554.048611111,6,3584,2,1370.5,3,1867
2021-01-17,627.87670493153,647,81.6814334192768,0.964857142857143,"sa",212063.117819984,3.41142815076561,2121.5,793.5,1098,216244.965277778,212059.173611111,2,2120.5,1,792.5,2,1096.5
2021-01-24,369.936966855007,378,46.2446720165736,0.939714285714286,"sa",217097.353936774,3.41158155026241,1238,464.5,639.5,221342.381944444,217093.923611111,1,1237.5,1,464,1,638.5
2021-01-31,211.759610359064,214,26.2383341576846,0.810857142857143,"sa",222584.458333332,3.4125,671,239,351.5,226869.381944444,222584.458333332,0,671,1,238.5,1,351
2021-02-07,113.441396231656,106,15.0150285019048,0.682,"sa",228283.374999999,3.4125,331.5,111,176.5,232568.048611111,228283.374999999,0,331.5,0,110.5,1,176.5
2021-02-14,55.4908300866355,56,8.33180394473931,0.786761904761905,"sa",234041.624999999,3.4125,172,64,91,238342.548611111,234041.624999999,0,172,0,63.5,0.5,90.5
2021-02-21,29.8127764762267,26,4.46317299004796,0.716309523809524,"sa",239817.041666666,3.4125,94,30,48,244057.965277778,239817.041666666,0,94,0,30,0,48
