areaType,areaName,areaCode,date,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
overview,United Kingdom,K02000001,2021-03-01,203168,28282,20478619,844098
overview,United Kingdom,K02000001,2021-02-28,185900,19684,20275451,815816
overview,United Kingdom,K02000001,2021-02-27,407503,27322,20089551,796132
overview,United Kingdom,K02000001,2021-02-26,504493,32773,19682048,768810
overview,United Kingdom,K02000001,2021-02-25,485720,35319,19177555,736037
overview,United Kingdom,K02000001,2021-02-24,448962,31613,18691835,700718
overview,United Kingdom,K02000001,2021-02-23,326692,26317,18242873,669105
overview,United Kingdom,K02000001,2021-02-22,192341,18463,17916181,642788
overview,United Kingdom,K02000001,2021-02-21,141719,9177,17723840,624325
overview,United Kingdom,K02000001,2021-02-20,334679,10263,17582121,615148
overview,United Kingdom,K02000001,2021-02-19,371906,15294,17247442,604885
overview,United Kingdom,K02000001,2021-02-18,452454,15867,16875536,589591
overview,United Kingdom,K02000001,2021-02-17,482110,15147,16423082,573724
overview,United Kingdom,K02000001,2021-02-16,364865,12412,15940972,558577
overview,United Kingdom,K02000001,2021-02-15,275956,6535,15576107,546165
overview,United Kingdom,K02000001,2021-02-14,237962,1915,15300151,539630
overview,United Kingdom,K02000001,2021-02-13,505362,2846,15062189,537715
overview,United Kingdom,K02000001,2021-02-12,544603,4775,14556827,534869
overview,United Kingdom,K02000001,2021-02-11,503116,5647,14012224,530094
overview,United Kingdom,K02000001,2021-02-10,450810,4894,13509108,524447
overview,United Kingdom,K02000001,2021-02-09,411812,3161,13058298,519553
overview,United Kingdom,K02000001,2021-02-08,352480,3811,12646486,516392
overview,United Kingdom,K02000001,2021-02-07,278988,862,12294006,512581
overview,United Kingdom,K02000001,2021-02-06,549808,1662,12015018,511719
overview,United Kingdom,K02000001,2021-02-05,494163,4064,11465210,510057
overview,United Kingdom,K02000001,2021-02-04,480560,4036,10971047,505993
overview,United Kingdom,K02000001,2021-02-03,469016,2995,10490487,501957
overview,United Kingdom,K02000001,2021-02-02,374756,2166,10021471,498962
overview,United Kingdom,K02000001,2021-02-01,350348,2587,9646715,496796
overview,United Kingdom,K02000001,2021-01-31,319038,3156,9296367,494209
overview,United Kingdom,K02000001,2021-01-30,598389,10621,8977329,491053
overview,United Kingdom,K02000001,2021-01-29,487756,2178,8378940,480432
overview,United Kingdom,K02000001,2021-01-28,414419,1769,7891184,478254
overview,United Kingdom,K02000001,2021-01-27,312378,2329,7476765,476485
overview,United Kingdom,K02000001,2021-01-26,311060,1710,7164387,474156
overview,United Kingdom,K02000001,2021-01-25,279757,1968,6853327,472446
overview,United Kingdom,K02000001,2021-01-24,220249,818,6573570,470478
overview,United Kingdom,K02000001,2021-01-23,491970,1043,6353321,469660
overview,United Kingdom,K02000001,2021-01-22,478248,1821,5861351,468617
overview,United Kingdom,K02000001,2021-01-21,409855,2760,5383103,466796
overview,United Kingdom,K02000001,2021-01-20,363508,3411,4973248,464036
overview,United Kingdom,K02000001,2021-01-19,343163,3759,4609740,460625
overview,United Kingdom,K02000001,2021-01-18,204076,4565,4266577,456866
overview,United Kingdom,K02000001,2021-01-17,190107,2239,4062501,452301
overview,United Kingdom,K02000001,2021-01-16,296131,2620,3872394,450062
overview,United Kingdom,K02000001,2021-01-15,341317,4208,3576263,447442
overview,United Kingdom,K02000001,2021-01-14,316694,5257,3234946,443234
overview,United Kingdom,K02000001,2021-01-13,278943,9745,2918252,437977
overview,United Kingdom,K02000001,2021-01-12,207661,16065,2639309,428232
overview,United Kingdom,K02000001,2021-01-11,145076,20768,2431648,412167
overview,United Kingdom,K02000001,2021-01-10,,,2286572,391399
