areaType,areaName,areaCode,date,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,weeklyPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
overview,United Kingdom,K02000001,2021-02-21,2351149,17702908,84207,623886
overview,United Kingdom,K02000001,2021-02-14,2951837,15351759,26526,539679
overview,United Kingdom,K02000001,2021-02-07,2958649,12399922,16663,513153
overview,United Kingdom,K02000001,2021-01-31,2584693,9441273,13420,496490
overview,United Kingdom,K02000001,2021-01-24,2561846,6856580,10782,483070
overview,United Kingdom,K02000001,2021-01-17,1830252,4294734,48857,472288
overview,United Kingdom,K02000001,2021-01-10,1085091,2464482,401498,423431
overview,United Kingdom,K02000001,2021-01-03,375246,1379391,21933,21933
overview,United Kingdom,K02000001,2020-12-27,329600,1004145,0,0
overview,United Kingdom,K02000001,2020-12-20,588208,674545,0,0
overview,United Kingdom,K02000001,2020-12-13,86337,86337,0,0
